Bildnummer,Y Koordinate,X Koordinate,Bildbeschreibung *,Legende DE **,Legende FR **,Legende IT **,Legende EN **,Map.geo.admin.ch link,Kommentar
cimg3465,221495,739975,<b>Lochezen Walenstadt - Standseilbahn<\b> Baujahr: <b>1956<\b>,<b>Lochezen Walenstadt - Funiculaire<\b> Ann‚e de construction: <b>1956<\b>,<b>Lochezen Walenstadt - Funiculare<\b> Anno di costruzione: <b>1956<\b>,<b>Lochezen Walenstadt - funicular railway<\b> Year of construction: <b>1956<\b>,Prflink,,
cimg3773,221100,703080,<b>Grund-Grosshusweid Willerzell/Einsiedeln - Umlaufsesselbahn feste Klemmen<\b> Baujahr: <b>1959<\b>,<b>Grund-Grosshusweid Willerzell/Einsiedeln - T‚l‚siŠge … pinces fixes<\b> Ann‚e de construction: <b>1959<\b>,<b>Grund-Grosshusweid Willerzell/Einsiedeln - Funivia a movimento continuo<\b> Anno di costruzione: <b>1959<\b>,<b>Grund-Grosshusweid Willerzell/Einsiedeln - Fixed grip chairlift<\b> Year of construction: <b>1959<\b>,Prflink,,
cimg6339,198720,666640,<b>Rohren-Melbach Ennetmoos - Umlaufmaterialbahn<\b> Baujahr: <b>1931<\b>,<b>Rohren-Melbach Ennetmoos - T‚l‚cabine … mouvement continu<\b> Ann‚e de construction: <b>1931<\b>,<b>Rohren-Melbach Ennetmoos - Funivia a movimento continuo<\b> Anno di costruzione: <b>1931<\b>,<b>Rohren-Melbach Ennetmoos - Material circulating cableway<\b> Year of construction: <b>1931<\b>,Prflink,,
cimg4446,188290,671130,<b>Obermatt-Zingel Obermatt - Pendelbahn<\b> Baujahr: <b>1923<\b>,<b>Obermatt-Zingel Obermatt - T‚l‚ph‚rique … va-et-vient<\b> Ann‚e de construction: <b>1923<\b>,<b>Obermatt-Zingel Obermatt - Funivia a va e vieni<\b> Anno di costruzione: <b>1923<\b>,<b>Obermatt-Zingel Obermatt - aerial tramway<\b> Year of construction: <b>1923<\b>,Prflink,,
521_2194,95414,717026,<b>Lugano Angioli Lugano - Standseilbahn<\b> Baujahr: <b>1913<\b>,<b>Lugano Angioli Lugano - Funiculaire<\b> Ann‚e de construction: <b>1913<\b>,<b>Lugano Angioli Lugano - Funiculare<\b> Anno di costruzione: <b>1913<\b>,<b>Lugano Angioli Lugano - funicular railway<\b> Year of construction: <b>1913<\b>,Prflink,,
520_6436,256300,684630,<b>Airside-Center - Dock-E (Skymetro) Zrich-Flughafen - Standseilbahn<\b> Baujahr: <b>2001<\b>,<b>Airside-Center - Dock-E (Skymetro) Zrich-Flughafen - Funiculaire<\b> Ann‚e de construction: <b>2001<\b>,<b>Airside-Center - Dock-E (Skymetro) Zrich-Flughafen - Funiculare<\b> Anno di costruzione: <b>2001<\b>,<b>Airside-Center - Dock-E (Skymetro) Zrich-Flughafen - funicular railway<\b> Year of construction: <b>2001<\b>,Prflink,,
cimg4289,189912,670817,<b>Mettlen Vorderrugisbalm Wolfenschiessen - Pendelbahn<\b> Baujahr: <b>1912<\b>,<b>Mettlen Vorderrugisbalm Wolfenschiessen - T‚l‚ph‚rique … va-et-vient<\b> Ann‚e de construction: <b>1912<\b>,<b>Mettlen Vorderrugisbalm Wolfenschiessen - Funivia a va e vieni<\b> Anno di costruzione: <b>1912<\b>,<b>Mettlen Vorderrugisbalm Wolfenschiessen - aerial tramway<\b> Year of construction: <b>1912<\b>,Prflink,,
cimg5223,169220,688156,<b>Gtsch, G”schenen G”schenen - Pendelbahn<\b> Baujahr: <b>1951<\b>,<b>Gtsch, G”schenen G”schenen - T‚l‚ph‚rique … va-et-vient<\b> Ann‚e de construction: <b>1951<\b>,<b>Gtsch, G”schenen G”schenen - Funivia a va e vieni<\b> Anno di costruzione: <b>1951<\b>,<b>Gtsch, G”schenen G”schenen - aerial tramway<\b> Year of construction: <b>1951<\b>,Prflink,,
cimg5113,148840,679550,<b>All'Acqua, Airolo V.Bedr. Airolo - Pendelbahn<\b> Baujahr: <b>1948<\b>,<b>All'Acqua, Airolo V.Bedr. Airolo - T‚l‚ph‚rique … va-et-vient<\b> Ann‚e de construction: <b>1948<\b>,<b>All'Acqua, Airolo V.Bedr. Airolo - Funivia a va e vieni<\b> Anno di costruzione: <b>1948<\b>,<b>All'Acqua, Airolo V.Bedr. Airolo - aerial tramway<\b> Year of construction: <b>1948<\b>,Prflink,,
19980914_eb_004,215310,748490,<b>Ragnatsch, Sargans Sargans - Pendelbahn<\b> Baujahr: <b>1941<\b>,<b>Ragnatsch, Sargans Sargans - T‚l‚ph‚rique … va-et-vient<\b> Ann‚e de construction: <b>1941<\b>,<b>Ragnatsch, Sargans Sargans - Funivia a va e vieni<\b> Anno di costruzione: <b>1941<\b>,<b>Ragnatsch, Sargans Sargans - aerial tramway<\b> Year of construction: <b>1941<\b>,Prflink,,
cimg2438,242395,712520,<b>Brand - Oberegg Fischenthal - Skilift<\b> Baujahr: <b>1963<\b>,<b>Brand - Oberegg Fischenthal - T‚l‚ski<\b> Ann‚e de construction: <b>1963<\b>,<b>Brand - Oberegg Fischenthal - Skilift<\b> Anno di costruzione: <b>1963<\b>,<b>Brand - Oberegg Fischenthal - ski lift<\b> Year of construction: <b>1963<\b>,Prflink,,
